id,title,author,text,label
20,Miracle cure found for all diseases,Clickbait Media,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
21,Government passes new environmental policy,BBC News,Government passes new environmental policy - Details: This is a real news article with verified information.,1
22,Miracle cure found for all diseases,Fake Buzz,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
23,Government passes new environmental policy,Health Dept.,Government passes new environmental policy - Details: This is a real news article with verified information.,1
24,Miracle cure found for all diseases,Clickbait Media,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
25,Miracle cure found for all diseases,Viral Hoax,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
26,Secret alien base discovered under the ocean,Clickbait Media,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
27,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
28,You won't believe what this celebrity did!,Clickbait Media,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
29,Historic peace agreement reached between nations,John Doe,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
30,Government passes new environmental policy,John Doe,Government passes new environmental policy - Details: This is a real news article with verified information.,1
31,Historic peace agreement reached between nations,John Doe,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
32,Historic peace agreement reached between nations,NASA Team,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
33,Historic peace agreement reached between nations,BBC News,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
34,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
35,Secret alien base discovered under the ocean,Viral Hoax,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
36,Healthcare reform bill signed into law,John Doe,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
37,Man claims to time travel using toaster,Viral Hoax,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
38,Ancient pyramid found on Mars,Unknown,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
39,You won't believe what this celebrity did!,Clickbait Media,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
40,Secret alien base discovered under the ocean,Viral Hoax,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
41,Scientists discover new species in Amazon rainforest,John Doe,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
42,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
43,Historic peace agreement reached between nations,BBC News,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
44,Scientists discover new species in Amazon rainforest,Jane Smith,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
45,Healthcare reform bill signed into law,NASA Team,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
46,Scientists discover new species in Amazon rainforest,John Doe,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
47,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
48,Ancient pyramid found on Mars,Unknown,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
49,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
50,Scientists discover new species in Amazon rainforest,John Doe,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
51,Man claims to time travel using toaster,Viral Hoax,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
52,Tech company releases groundbreaking AI tool,BBC News,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
53,Scientists discover new species in Amazon rainforest,Jane Smith,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
54,Government passes new environmental policy,NASA Team,Government passes new environmental policy - Details: This is a real news article with verified information.,1
55,Healthcare reform bill signed into law,Jane Smith,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
56,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
57,Ancient pyramid found on Mars,Fake Buzz,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
58,Miracle cure found for all diseases,Unknown,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
59,Miracle cure found for all diseases,Fake Buzz,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
60,Tech company releases groundbreaking AI tool,Jane Smith,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
61,You won't believe what this celebrity did!,Viral Hoax,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
62,Miracle cure found for all diseases,Viral Hoax,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
63,Secret alien base discovered under the ocean,Anon Source,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
64,Ancient pyramid found on Mars,Clickbait Media,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
65,Historic peace agreement reached between nations,NASA Team,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
66,Tech company releases groundbreaking AI tool,NASA Team,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
67,Ancient pyramid found on Mars,Fake Buzz,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
68,Scientists discover new species in Amazon rainforest,Jane Smith,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
69,Secret alien base discovered under the ocean,Anon Source,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
70,Scientists discover new species in Amazon rainforest,NASA Team,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
71,Miracle cure found for all diseases,Viral Hoax,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
72,Government passes new environmental policy,BBC News,Government passes new environmental policy - Details: This is a real news article with verified information.,1
73,Historic peace agreement reached between nations,John Doe,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
74,Miracle cure found for all diseases,Clickbait Media,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
75,Scientists discover new species in Amazon rainforest,BBC News,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
76,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
77,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
78,Healthcare reform bill signed into law,NASA Team,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
79,You won't believe what this celebrity did!,Clickbait Media,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
80,Historic peace agreement reached between nations,Jane Smith,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
81,Man claims to time travel using toaster,Clickbait Media,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
82,Scientists discover new species in Amazon rainforest,Jane Smith,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
83,Ancient pyramid found on Mars,Unknown,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
84,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
85,Secret alien base discovered under the ocean,Clickbait Media,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
86,Government passes new environmental policy,BBC News,Government passes new environmental policy - Details: This is a real news article with verified information.,1
87,Scientists discover new species in Amazon rainforest,John Doe,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
88,Secret alien base discovered under the ocean,Viral Hoax,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
89,Government passes new environmental policy,NASA Team,Government passes new environmental policy - Details: This is a real news article with verified information.,1
90,You won't believe what this celebrity did!,Clickbait Media,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
91,Healthcare reform bill signed into law,Jane Smith,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
92,You won't believe what this celebrity did!,Viral Hoax,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
93,Government passes new environmental policy,Health Dept.,Government passes new environmental policy - Details: This is a real news article with verified information.,1
94,Ancient pyramid found on Mars,Fake Buzz,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
95,Tech company releases groundbreaking AI tool,Jane Smith,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
96,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
97,Historic peace agreement reached between nations,John Doe,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
98,Secret alien base discovered under the ocean,Viral Hoax,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
99,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
100,Healthcare reform bill signed into law,Health Dept.,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
101,Government passes new environmental policy,Health Dept.,Government passes new environmental policy - Details: This is a real news article with verified information.,1
102,Man claims to time travel using toaster,Unknown,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
103,Scientists discover new species in Amazon rainforest,NASA Team,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
104,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
105,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
106,Miracle cure found for all diseases,Anon Source,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
107,You won't believe what this celebrity did!,Anon Source,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
108,Ancient pyramid found on Mars,Fake Buzz,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
109,Secret alien base discovered under the ocean,Anon Source,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
110,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
111,Tech company releases groundbreaking AI tool,Health Dept.,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
112,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
113,Secret alien base discovered under the ocean,Unknown,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
114,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
115,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
116,Secret alien base discovered under the ocean,Viral Hoax,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
117,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
118,Ancient pyramid found on Mars,Viral Hoax,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
119,You won't believe what this celebrity did!,Unknown,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
120,Historic peace agreement reached between nations,BBC News,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
121,Scientists discover new species in Amazon rainforest,John Doe,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
122,Man claims to time travel using toaster,Clickbait Media,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
123,Government passes new environmental policy,BBC News,Government passes new environmental policy - Details: This is a real news article with verified information.,1
124,Miracle cure found for all diseases,Fake Buzz,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
125,Healthcare reform bill signed into law,John Doe,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
126,You won't believe what this celebrity did!,Clickbait Media,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
127,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
128,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
129,You won't believe what this celebrity did!,Unknown,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
130,Tech company releases groundbreaking AI tool,Health Dept.,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
131,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
132,Government passes new environmental policy,Health Dept.,Government passes new environmental policy - Details: This is a real news article with verified information.,1
133,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
134,Secret alien base discovered under the ocean,Viral Hoax,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
135,Miracle cure found for all diseases,Fake Buzz,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
136,Secret alien base discovered under the ocean,Viral Hoax,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
137,Secret alien base discovered under the ocean,Unknown,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
138,Historic peace agreement reached between nations,BBC News,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
139,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
140,Healthcare reform bill signed into law,John Doe,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
141,Tech company releases groundbreaking AI tool,BBC News,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
142,Man claims to time travel using toaster,Unknown,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
143,Healthcare reform bill signed into law,NASA Team,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
144,Government passes new environmental policy,NASA Team,Government passes new environmental policy - Details: This is a real news article with verified information.,1
145,Government passes new environmental policy,BBC News,Government passes new environmental policy - Details: This is a real news article with verified information.,1
146,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
147,Healthcare reform bill signed into law,Health Dept.,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
148,Man claims to time travel using toaster,Anon Source,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
149,Man claims to time travel using toaster,Unknown,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
150,Secret alien base discovered under the ocean,Unknown,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
151,Historic peace agreement reached between nations,NASA Team,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
152,Historic peace agreement reached between nations,BBC News,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
153,Tech company releases groundbreaking AI tool,NASA Team,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
154,Tech company releases groundbreaking AI tool,John Doe,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
155,Healthcare reform bill signed into law,Jane Smith,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
156,Tech company releases groundbreaking AI tool,John Doe,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
157,Man claims to time travel using toaster,Clickbait Media,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
158,Government passes new environmental policy,Health Dept.,Government passes new environmental policy - Details: This is a real news article with verified information.,1
159,Secret alien base discovered under the ocean,Fake Buzz,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
160,Tech company releases groundbreaking AI tool,Health Dept.,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
161,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
162,Scientists discover new species in Amazon rainforest,BBC News,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
163,Tech company releases groundbreaking AI tool,BBC News,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
164,Miracle cure found for all diseases,Fake Buzz,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
165,Tech company releases groundbreaking AI tool,John Doe,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
166,Healthcare reform bill signed into law,Jane Smith,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
167,Man claims to time travel using toaster,Unknown,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
168,Healthcare reform bill signed into law,John Doe,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
169,Government passes new environmental policy,Health Dept.,Government passes new environmental policy - Details: This is a real news article with verified information.,1
170,Healthcare reform bill signed into law,Jane Smith,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
171,You won't believe what this celebrity did!,Unknown,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
172,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
173,Scientists discover new species in Amazon rainforest,Health Dept.,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
174,Ancient pyramid found on Mars,Unknown,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
175,You won't believe what this celebrity did!,Viral Hoax,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
176,Man claims to time travel using toaster,Unknown,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
177,Government passes new environmental policy,Jane Smith,Government passes new environmental policy - Details: This is a real news article with verified information.,1
178,Miracle cure found for all diseases,Unknown,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
179,Healthcare reform bill signed into law,John Doe,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
180,Tech company releases groundbreaking AI tool,NASA Team,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
181,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
182,Secret alien base discovered under the ocean,Clickbait Media,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
183,Scientists discover new species in Amazon rainforest,Jane Smith,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
184,Healthcare reform bill signed into law,NASA Team,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
185,Tech company releases groundbreaking AI tool,BBC News,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
186,Government passes new environmental policy,Jane Smith,Government passes new environmental policy - Details: This is a real news article with verified information.,1
187,Government passes new environmental policy,BBC News,Government passes new environmental policy - Details: This is a real news article with verified information.,1
188,Secret alien base discovered under the ocean,Fake Buzz,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
189,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
190,Government passes new environmental policy,Jane Smith,Government passes new environmental policy - Details: This is a real news article with verified information.,1
191,Tech company releases groundbreaking AI tool,John Doe,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
192,Ancient pyramid found on Mars,Clickbait Media,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
193,Miracle cure found for all diseases,Fake Buzz,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
194,Healthcare reform bill signed into law,Health Dept.,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
195,Secret alien base discovered under the ocean,Fake Buzz,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
196,Secret alien base discovered under the ocean,Clickbait Media,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
197,Historic peace agreement reached between nations,Jane Smith,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
198,Healthcare reform bill signed into law,Jane Smith,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
199,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
200,Tech company releases groundbreaking AI tool,NASA Team,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
201,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
202,Healthcare reform bill signed into law,Jane Smith,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
203,Government passes new environmental policy,Health Dept.,Government passes new environmental policy - Details: This is a real news article with verified information.,1
204,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
205,Ancient pyramid found on Mars,Viral Hoax,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
206,Scientists discover new species in Amazon rainforest,NASA Team,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
207,Secret alien base discovered under the ocean,Clickbait Media,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
208,Tech company releases groundbreaking AI tool,John Doe,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
209,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
210,Ancient pyramid found on Mars,Clickbait Media,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
211,You won't believe what this celebrity did!,Viral Hoax,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
212,Scientists discover new species in Amazon rainforest,BBC News,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
213,Historic peace agreement reached between nations,NASA Team,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
214,You won't believe what this celebrity did!,Viral Hoax,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
215,Historic peace agreement reached between nations,NASA Team,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
216,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
217,Historic peace agreement reached between nations,BBC News,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
218,Healthcare reform bill signed into law,NASA Team,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
219,Scientists discover new species in Amazon rainforest,BBC News,Scientists discover new species in Amazon rainforest - Details: This is a real news article with verified information.,1
220,Ancient pyramid found on Mars,Anon Source,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
221,Man claims to time travel using toaster,Viral Hoax,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
222,Miracle cure found for all diseases,Unknown,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
223,Tech company releases groundbreaking AI tool,John Doe,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
224,Tech company releases groundbreaking AI tool,Health Dept.,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
225,Healthcare reform bill signed into law,Health Dept.,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
226,Secret alien base discovered under the ocean,Fake Buzz,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
227,Miracle cure found for all diseases,Anon Source,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
228,Secret alien base discovered under the ocean,Clickbait Media,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
229,Man claims to time travel using toaster,Fake Buzz,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
230,Miracle cure found for all diseases,Clickbait Media,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
231,You won't believe what this celebrity did!,Anon Source,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
232,Man claims to time travel using toaster,Unknown,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
233,Tech company releases groundbreaking AI tool,NASA Team,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
234,Miracle cure found for all diseases,Fake Buzz,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
235,Ancient pyramid found on Mars,Unknown,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
236,Tech company releases groundbreaking AI tool,BBC News,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
237,Secret alien base discovered under the ocean,Anon Source,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
238,Government passes new environmental policy,Health Dept.,Government passes new environmental policy - Details: This is a real news article with verified information.,1
239,Historic peace agreement reached between nations,Jane Smith,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
240,Man claims to time travel using toaster,Unknown,Man claims to time travel using toaster - Details: This claim is unverified and likely to be fake.,0
241,Miracle cure found for all diseases,Unknown,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
242,Ancient pyramid found on Mars,Unknown,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
243,Secret alien base discovered under the ocean,Fake Buzz,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
244,You won't believe what this celebrity did!,Clickbait Media,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
245,Healthcare reform bill signed into law,BBC News,Healthcare reform bill signed into law - Details: This is a real news article with verified information.,1
246,You won't believe what this celebrity did!,Anon Source,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
247,Ancient pyramid found on Mars,Unknown,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
248,Tech company releases groundbreaking AI tool,John Doe,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
249,Secret alien base discovered under the ocean,Fake Buzz,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
